Date,Open,High,Low,Close,Adj Close,Volume
2015-09-02,245.300003,247.880005,239.779999,247.690002,247.690002,4629200
2015-09-03,252.059998,252.080002,245.000000,245.570007,245.570007,4194800
2015-09-04,240.889999,244.089996,238.199997,241.929993,241.929993,3689200
2015-09-08,245.050003,249.160004,244.050003,248.169998,248.169998,3138200
2015-09-09,252.050003,254.250000,248.300003,248.910004,248.910004,3384700
2015-09-10,247.229996,250.720001,245.330002,248.479996,248.479996,2709000
2015-09-11,247.639999,250.240005,244.729996,250.240005,250.240005,2350800
2015-09-14,251.100006,254.250000,249.669998,253.190002,253.190002,2890900
2015-09-15,252.750000,254.600006,249.500000,253.570007,253.570007,2929300
2015-09-16,253.039993,262.880005,252.880005,262.250000,262.250000,4417100
2015-09-17,263.959991,265.500000,260.690002,262.070007,262.070007,3585800
2015-09-18,257.959991,263.820007,257.500000,260.619995,260.619995,3739800
2015-09-21,263.980011,271.570007,255.800003,264.200012,264.200012,6120200
2015-09-22,259.029999,262.649994,255.869995,260.940002,260.940002,3664400
2015-09-23,261.950012,262.079987,257.579987,261.059998,261.059998,2600800
2015-09-24,259.529999,263.450012,256.209991,263.119995,263.119995,3448200
2015-09-25,266.609985,266.910004,256.149994,256.910004,256.910004,3773400
2015-09-28,257.350006,259.790009,246.610001,248.429993,248.429993,4901100
